Agen Crawler Alamat Email Menggunakan Metode Bread First Crawling;Andri Pranolo, S.T., M.Cs.;Murinto, S.Si., M.Kom.;Ali Tarmuji, S.T., M.Cs.
Alat Bantu Ajar Mata Kuliah Aljabar Linier dan Matriks pada Pokok Bahasan Determinan dan Invers Matrik;Dewi Soyusiawaty, S.T., M.T.;Sri Handayaningsih, S.T., M.T.;Ir. Ardi Pujiyanta, M.T.
Alat Bantu Pembelajaran Baca Al Quran Berbasis Multimedia Berbasis Web;Eko Aribowo, S.T., M.Kom.;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Alat Bantu Pembelajaran Mata Kuliah Computer Vision Pada Edge Based Segmentasi Citra Berbasis Multimedia;Murinto, S.Si., M.Kom.;Dr. Abdul Fadlil, M.T.;Drs. Wahyu Pujiono, M.Kom.
Alat Bantu Riset Operasi Pada Materi Penugasan Berbasis Mutimedia;Dr. Abdul Fadlil, M.T.;Drs. Tedy Setiadi, M.T.;Ir. Ardi Pujiyanta, M.T.
Alat Bantu ajar Mata kuliah Fuzzy logic pada pokok bahasan metode sugeno;Ir. Ardi Pujiyanta, M.T.;Sri Winiarti, S.T., M.Cs.;Murinto, S.Si., M.Kom.
Algoritma Genetika untuk Menyelesaikan Travelling Sales Problem (TSP) Pada Pencarian Jalur Terpadu antar Kota;Ir. Ardi Pujiyanta, M.T.;Murinto, S.Si., M.Kom.;Sri Winiarti, S.T., M.Cs.
Algoritma Levenshein Distance pada Commerce Distro Bravoisetees;Rusydi Umar, S.T., M.T., Ph.D.;Drs. Tedy Setiadi, M.T.;Fiftin Noviyanto, S.T., M.Cs.
Analisa Dan Perancangan Sistem Pelangganan Berbasis Web Dengan Penerapan CRM S.A.;Arfiani Nur Khusna, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.;Rusydi Umar, S.T., M.T., Ph.D.
Analisa Perbandingan Teknik  Hacking SQL Injection Pada Keamanan Web;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Herman Yuliansyah, S.T., M.Eng.
Analisis dan Implementasi Video Conference Berbasis Openmeetings sebagai Metode Distance Learning;Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Fiftin Noviyanto, S.T., M.Cs.
Analisis dan Optimalisasi Jaringan menggunakan teknik Loud Balancing (Uji teknis UAD Kampus 3);Dr. Imam Riyadi, M.Kom.;Eko Aribowo, S.T., M.Kom.;Ali Tarmuji, S.T., M.Cs.
